"participant","trialno","rotation","target","reachdev"
216970,1,0,75,-9.68293239083709
216970,2,0,135,-0.127160147574954
216970,3,0,45,-4.85202158214452
216970,4,0,105,1.73492101498985
216970,5,0,75,-0.678550351345319
216970,6,0,45,-16.7251891575728
216970,7,0,105,-9.63173645245952
216970,8,0,135,-14.0415631139396
216970,9,0,105,15
216970,10,0,75,-2.10315202863481
216970,11,0,135,-13.4298919819878
216970,12,0,45,-0.786103874062609
216970,13,0,105,13.144814671523
216970,14,0,45,-4.40502392936436
216970,15,0,75,-15.5835389419222
216970,16,0,135,-1.98033506094452
216970,17,0,105,-10.9448077556219
216970,18,0,45,-8.18483718940261
216970,19,0,135,37.7078042827188
216970,20,0,75,10.0832755963594
216970,21,0,75,-0.306184711553366
216970,22,0,135,-5.55307474612954
216970,23,0,105,-10.7205040717882
216970,24,0,45,-7.00232427746618
216970,25,0,75,-0.919148287900823
216970,26,0,45,-9.22905866836813
216970,27,0,105,-2.32531567711648
216970,28,0,135,31.8158719493049
216970,29,0,135,42.3095785935682
216970,30,0,105,10.4410666942542
216970,31,0,45,1.3852609623824
216970,32,0,75,-5.81589434402644
216970,33,0.75,45,-2.50775100303416
216970,34,1.5,135,-5.56934202971789
216970,35,2.25,75,-13.4260958493342
216970,36,3,105,-4.86517248690811
216970,37,3.75,135,7.54497990499319
216970,38,4.5,75,6.68590739296974
216970,39,5.25,105,3.52657269859774
216970,40,6,45,-25.8312928018931
216970,41,6.75,45,-91.0534104754249
216970,42,7.5,135,6.52938810760259
216970,43,8.25,75,7.67480910027486
216970,44,9,105,7.41680693919352
216970,45,9.75,75,6.29983730095698
216970,46,10.5,105,12.9051120731692
216970,47,11.25,135,-1.95396770936291
216970,48,12,45,4.99564972964064
216970,49,12.75,45,-2.61661656512533
216970,50,13.5,105,10.1162549559063
216970,51,14.25,135,2.80092708145536
216970,52,15,75,4.19487627310862
216970,53,15.75,105,1.78448096879959
216970,54,16.5,45,-6.71650225955057
216970,55,17.25,75,2.89780783812635
216970,56,18,135,-0.824832720507232
216970,57,18.75,105,10.2826634526941
216970,58,19.5,135,4.5584338661022
216970,59,20.25,75,1.91965248256472
216970,60,21,45,-7.76477028834617
216970,61,21.75,75,9.07137126571625
216970,62,22.5,105,8.43335449423208
216970,63,23.25,45,-4.7257879736122
216970,64,24,135,-3.07049936684927
216970,65,24.75,105,11.7441387513541
216970,66,25.5,135,7.9861766645726
216970,67,26.25,75,9.725083749908
216970,68,27,45,-0.0620878069104777
216970,69,27.75,105,12.5420228383541
216970,70,28.5,75,11.9875330319655
216970,71,29.25,135,7.26007557660012
216970,72,30,45,5.01061171620135
216970,73,30.75,105,12.8165119278241
216970,74,31.5,135,0.0672557128557724
216970,75,32.25,45,10.4722480521056
216970,76,33,75,16.2280493953485
216970,77,33.75,105,8.54228193240628
216970,78,34.5,45,20.5644589097064
216970,79,35.25,135,9.3837802645122
216970,80,36,75,13.4328462786417
216970,81,36.75,135,8.66174083512836
216970,82,37.5,75,25.149697023838
216970,83,38.25,45,2.5259885421672
216970,84,39,105,-4.55214730942314
216970,85,39.75,75,16.2228262436652
216970,86,40.5,105,38.9084583791671
216970,87,41.25,45,14.5447770270784
216970,88,42,135,16.8837461986401
216970,89,42.75,75,30.3034771312906
216970,90,43.5,105,11.9936470032848
216970,91,44.25,135,19.454548029576
216970,92,45,45,-2.96989137662602
216970,93,45.75,45,-28.4701842297435
216970,94,46.5,105,16.2165033373066
216970,95,47.25,75,37.8464193829043
216970,96,48,135,35.1007903372047
216970,97,48.75,105,-8.26580721634627
216970,98,49.5,135,29.6888544936396
216970,99,50.25,75,18.9706052282654
216970,100,51,45,6.85407941553017
216970,101,51.75,135,8.81711529723681
216970,102,52.5,105,15.6019296614522
216970,103,53.25,45,14.9922874682118
216970,104,54,75,5.25542074980837
216970,105,54.75,45,15.3256585517983
216970,106,55.5,75,23.4609323670013
