"participant","trialno","rotation","target","reachdev"
216331,27,0,105,6.37061754046304
216331,28,0,45,5.60523464615382
216331,29,0,135,-3.31094290110744
216331,30,0,75,-6.25051198139268
216331,31,0,105,-10.8653347985851
216331,32,0,45,-1.01698671990515
216331,33,60,75,12.4169729605033
216331,34,60,45,-137.140893489415
216331,35,60,135,3.52561483526153
216331,36,60,105,-10.4589823767677
216331,37,60,45,-9.70286449863532
216331,38,60,75,-17.4066776904029
216331,39,60,135,-6.12693482263927
216331,40,60,105,-16.4086355808917
216331,41,60,75,-22.0303969386194
216331,42,60,45,-10.3508920239254
216331,43,60,105,-27.2985985472735
216331,44,60,135,-9.35298081459722
216331,45,60,75,-25.4333638249923
216331,46,60,135,-37.8749880734588
216331,47,60,45,-17.454874450916
216331,48,60,105,-21.9045507911251
216331,49,60,75,-22.4623575055954
216331,50,60,135,-27.9832831765699
216331,51,60,105,-20.5512721645243
216331,52,60,45,-13.793816692911
216331,53,60,75,-19.3034973293244
216331,54,60,135,-27.6333825238452
216331,55,60,105,-25.5915351445806
216331,56,60,45,-13.2465390695427
216331,57,60,135,-40.5587637578096
216331,58,60,75,-24.4532440417046
216331,59,60,45,-20.4675663116043
216331,60,60,105,-20.7720322901725
216331,61,60,75,-29.3839464293844
216331,62,60,45,-12.6670688196367
216331,63,60,135,-31.607522015959
216331,64,60,105,-27.3247351509578
216331,65,60,75,-21.8699032302065
216331,66,60,105,-41.5650610701811
216331,67,60,135,-23.614284014607
216331,68,60,45,-28.6667104708596
216331,69,60,105,-29.8390313306791
216331,70,60,45,-24.6125485703266
216331,71,60,75,-22.7630838052233
216331,72,60,135,-33.524478211015
216331,73,60,105,-28.6874991566422
216331,74,60,75,-30.6869738827664
216331,75,60,135,-38.3638471361985
216331,76,60,45,-20.7255644159071
216331,77,60,45,-20.8423668294644
216331,78,60,105,-26.2224786678402
216331,79,60,75,-34.824279526554
216331,80,60,135,-35.0362019715814
216331,81,60,45,-23.3195364593779
216331,82,60,75,-38.130110462956
216331,83,60,135,-16.9023201411345
216331,84,60,105,-33.9776615500504
216331,85,60,105,-34.8468883848979
216331,86,60,75,-30.5256413507087
216331,87,60,45,-17.027215452803
216331,88,60,135,-45.5070518372175
216331,89,60,45,-23.9996592362894
216331,90,60,135,-47.907768263878
216331,91,60,75,-30.9963542815105
216331,92,60,105,-36.5856710419938
216331,93,60,135,-25.9743980352213
216331,94,60,45,-10.7305648057817
216331,95,60,75,-36.1027886950413
216331,96,60,105,-27.0047808270789
216331,97,60,75,-32.1150801935976
216331,98,60,135,-23.3340456976987
216331,99,60,45,-16.5873441150822
216331,100,60,105,-31.5113366337066
216331,101,60,135,-35.494474741531
216331,102,60,75,-37.8770854179175
216331,103,60,105,-36.0555429893723
216331,104,60,45,-32.2588487515699
216331,105,60,135,-25.161355542684
216331,106,60,75,-21.4420419830263
216331,107,60,45,-23.6490274227817
216331,108,60,105,-24.8766092611254
216331,109,60,135,-29.1808109494597
216331,110,60,105,-29.4263430757602
216331,111,60,45,-29.1406399381555
216331,112,60,75,-26.6843108906348
216331,113,60,135,-34.9053824283216
216331,114,60,105,-33.8941271098006
216331,115,60,45,-37.0342305695648
216331,116,60,75,-38.275901418431
216331,117,60,45,-21.7821551249679
216331,118,60,75,-35.7678961721928
216331,119,60,105,-37.4569452019219
216331,120,60,135,-44.3041406319937
216331,121,60,135,-52.706106743725
216331,122,60,75,-27.2632879851343
216331,123,60,105,-33.7864599143554
216331,124,60,45,-18.5309286738198
216331,125,60,105,-39.8293557790361
216331,126,60,135,-43.7064604968271
216331,127,60,75,-29.4996193346349
216331,128,60,45,-23.2653744891348
216331,129,60,105,-37.6938033977879
216331,130,60,45,-24.9528519272972
216331,131,60,75,-42.4728884286092
216331,132,60,135,-59.5427959533618
216331,133,60,105,-39.6331968777525
216331,134,60,45,-11.309938487556
216331,135,60,75,-49.3254894458948
216331,136,60,135,-25.4499499374293
216331,137,60,75,-29.1048339677081
216331,138,60,135,-47.9464664597942
216331,139,60,105,-28.535863207294
216331,140,60,45,-48.6652012942512
216331,141,60,135,-34.0949840934555
