"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"218299","2021-01-12_23h01.53.546","Win32",60,620.99917,5,60,TRUE,"2021-01-13 03:56:58","2021-01-13 04:15:40","IP Address",100,1121,TRUE,"2021-01-13 04:15:40","I agree to participate in the study",18,"Male",184,"Right","Laptop","Mouse","No",NA,"Right",NA,NA
"218350","2021-01-17_20h58.29.783","Win32",60,500.899955,5,30,TRUE,"2021-01-18 01:56:09","2021-01-18 02:08:12","IP Address",100,722,TRUE,"2021-01-18 02:08:12","I agree to participate in the study",18,"Male",182,"Right","PC","Mouse","No",NA,"Right","No",NA
"218440","2021-01-19_17h34.09.210","MacIntel",60,997.790415,5,60,TRUE,"2021-01-19 22:29:56","2021-01-19 22:52:01","IP Address",100,1325,TRUE,"2021-01-19 22:52:02","I agree to participate in the study",19,"Female",166,"Right","Laptop","Trackpad","Yes","Yes","Right","No",NA
"218467","2021-01-15_11h05.28.406","MacIntel",60,614.314,2,60,TRUE,"2021-01-15 16:03:57","2021-01-15 16:16:55","IP Address",100,777,TRUE,"2021-01-15 16:16:55","I agree to participate in the study",19,"Female",168,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"218563","2021-01-20_23h41.40.261","Win32",60,526.273125,5,30,TRUE,"2021-01-21 04:39:04","2021-01-21 04:54:20","IP Address",100,915,TRUE,"2021-01-21 04:54:20","I agree to participate in the study",21,"Male",180,"Right","Laptop","Mouse","Yes","Yes","Right","No",NA
"218596","2021-01-19_15h26.12.711","MacIntel",60,959.526745,0,60,TRUE,"2021-01-19 20:23:07","2021-01-19 20:44:59","IP Address",100,1311,TRUE,"2021-01-19 20:44:59","I agree to participate in the study",21,"Female",170,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
"218704","2021-01-16_02h36.54.865","Win32",60,509.12587,0,30,TRUE,"2021-01-16 07:31:19","2021-01-16 07:47:10","IP Address",100,951,TRUE,"2021-01-16 07:47:11","I agree to participate in the study",19,"Female",180,"Right","PC","Trackpad","Yes","Yes","Right","No",NA
"218857","2021-01-17_23h26.37.275","MacIntel",60,494.903,5,30,TRUE,"2021-01-18 04:22:18","2021-01-18 04:37:35","IP Address",100,917,TRUE,"2021-01-18 04:37:35","I agree to participate in the study",18,"Female",156,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"218875","2021-01-15_15h43.58.411","MacIntel",60,677.33052,4,60,TRUE,"2021-01-15 20:40:32","2021-01-15 20:57:11","IP Address",100,999,TRUE,"2021-01-15 20:57:12","I agree to participate in the study",18,"Female",162,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
"219127","2021-01-20_15h10.30.117","Win32",60,475.235455,5,30,TRUE,"2021-01-20 20:06:01","2021-01-20 20:19:39","IP Address",100,817,TRUE,"2021-01-20 20:19:39","I agree to participate in the study",18,"Female",167,"Right","PC","Mouse","No",NA,"Right","Not sure",NA
"219181","2021-01-16_22h28.35.440","Linux x86_64",60,819.76837,5,60,TRUE,"2021-01-13 03:19:32","2021-01-13 03:26:33","IP Address",100,421,TRUE,"2021-01-13 03:26:33","I agree to participate in the study",18,"Female",157,"Right","Laptop","Trackpad","Yes","Yes","Right",NA,NA
"219250","2021-01-20_13h26.44.532","MacIntel",60,623.60775,3,30,TRUE,"2021-01-20 18:22:42","2021-01-20 19:08:03","IP Address",100,2720,TRUE,"2021-01-20 19:08:03","I agree to participate in the study",18,"Female",153,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
