"participant","trialno","rotation","target","reachdev"
216163,1,0,75,-4.05955489618353
216163,2,0,45,6.43972733105717
216163,3,0,135,1.02256794817793
216163,4,0,105,-4.59328396427335
216163,5,0,75,-6.38720279274204
216163,6,0,135,-5.04944742908264
216163,7,0,105,5.92741702138685
216163,8,0,45,13.9940957596056
216163,9,0,135,-0.960308152383604
216163,10,0,105,-7.12954440120902
216163,11,0,75,-1.02319793025446
216163,12,0,45,1.98301352356739
216163,13,0,45,4.0894237912827
216163,14,0,75,-0.806112372059885
216163,15,0,105,-8.88154795183389
216163,16,0,135,3.94034004781217
216163,17,0,135,-5.78080411588527
216163,18,0,105,-6.55018477076407
216163,19,0,75,-3.39800356413354
216163,20,0,45,1.80756761674665
216163,21,0,45,12.8998740533176
216163,22,0,105,4.33081408011886
216163,23,0,135,5.67753937252704
216163,24,0,75,-2.45768775953205
216163,25,0,135,-2.40426518490515
216163,26,0,45,6.68208805594017
216163,27,0,75,-5.93220497938187
216163,28,0,105,-0.27680966522602
216163,29,0,135,9.94715942036171
216163,30,0,75,0.0933932129083581
216163,31,0,105,-3.98521728474082
216163,32,0,45,7.13313389898398
216163,33,-30,105,-9.70883706761531
216163,34,-30,135,10.2139805971861
216163,35,-30,75,0.912349290226596
216163,36,-30,45,-2.24142215791209
216163,37,-30,105,0.398882337256426
216163,38,-30,45,15.4201269105569
216163,39,-30,75,10.6511378655203
216163,40,-30,135,20.4246000682766
216163,41,-30,75,7.670828570497
216163,42,-30,135,15.4010876441107
216163,43,-30,45,13.7597886082447
216163,44,-30,105,17.3282192704315
216163,45,-30,45,23.1088240310896
216163,46,-30,105,25.2714111090078
216163,47,-30,135,28.8133966902882
216163,48,-30,75,17.8319545270567
216163,49,-30,135,23.522617043256
216163,50,-30,45,15.6922179051111
216163,51,-30,105,20.2641142450555
216163,52,-30,75,13.1717519493336
216163,53,-30,45,25.6604078126865
216163,54,-30,105,15.4353698455937
216163,55,-30,135,17.2845870627638
216163,56,-30,75,13.0733700689102
216163,57,-30,45,34.0965219813035
216163,58,-30,75,21.1541210012343
216163,59,-30,135,14.4229454212782
216163,60,-30,105,15.0160781120413
216163,61,-30,45,24.744630208596
216163,62,-30,135,20.937854438904
216163,63,-30,105,21.0328339495375
216163,64,-30,75,24.9809886073834
216163,65,-30,75,5.02846245345568
216163,66,-30,105,7.19020662134215
216163,67,-30,135,17.0854457104489
216163,68,-30,45,11.5918112765334
216163,69,-30,45,19.0182778579168
216163,70,-30,105,14.7960717048034
216163,71,-30,135,21.7536399234549
216163,72,-30,75,-6.20940384442246
216163,73,-30,135,29.2769874627537
216163,74,-30,45,12.4922205132896
216163,75,-30,75,35.2471248521054
216163,76,-30,105,30.4402267038586
216163,77,-30,135,27.900035273075
216163,78,-30,45,11.6822366547896
216163,79,-30,75,29.1638097798431
216163,80,-30,105,28.2972340439389
216163,81,-30,45,25.8729731944796
216163,82,-30,135,25.9846540962976
216163,83,-30,105,43.044811758965
216163,84,-30,75,18.0879428934395
216163,85,-30,75,29.2028147573293
216163,86,-30,135,5.4353647289364
216163,87,-30,45,13.5813009767827
216163,88,-30,105,23.133339111028
216163,89,-30,105,21.0756271439551
216163,90,-30,45,15.1711469284897
216163,91,-30,135,21.2760035204069
216163,92,-30,75,16.8062357066893
216163,93,-30,135,26.3629502198231
216163,94,-30,75,9.85863471571147
216163,95,-30,45,29.3012437084444
216163,96,-30,105,27.5378211280707
216163,97,-30,135,23.8683121568911
216163,98,-30,75,16.2548264493031
216163,99,-30,105,15.4404361212309
216163,100,-30,45,15.97822799536
216163,101,-30,105,29.027340683883
216163,102,-30,45,23.6736717334522
216163,103,-30,135,16.6377410335928
216163,104,-30,75,14.9270401815353
216163,105,-30,105,23.9275354751325
216163,106,-30,135,18.5710609775489
216163,107,-30,45,18.3166025661046
216163,108,-30,75,25.4737416995733
216163,109,-30,135,28.0392406155232
216163,110,-30,75,20.452821471368
216163,111,-30,105,29.2984463088507
216163,112,-30,45,42.5472103665887
216163,113,-30,135,13.4723942277761
216163,114,-30,105,24.4675174630382
216163,115,-30,75,23.5949362995172
216163,116,-30,45,28.8208394538141
216163,117,-30,135,25.6453282552096
216163,118,-30,75,16.3552893340675
216163,119,-30,45,33.9523322710132
216163,120,-30,105,27.955287342022
216163,121,-30,135,23.3337902912353
216163,122,-30,45,27.8087527876873
216163,123,-30,75,23.4979176201286
216163,124,-30,105,24.7080408655417
216163,125,-30,45,28.9685075683045
216163,126,-30,105,19.3337014661574
216163,127,-30,75,19.8208741920837
216163,128,-30,135,27.7725950266621
216163,129,-30,105,17.9540299377667
216163,130,-30,135,-26.3541437154199
216163,131,-30,75,18.3786529997771
216163,132,-30,45,34.2075597102187
216163,133,-30,45,37.0481438481057
216163,134,-30,135,21.3810723654144
216163,135,-30,105,21.8732080329255
216163,136,-30,75,19.6467649137519
216163,137,-30,135,27.263377065142
216163,138,-30,45,42.4964630813369
216163,139,-30,75,32.7179871483115
216163,140,-30,105,46.8902093597134
216163,141,-30,75,28.2052048229937
216163,142,-30,135,25.5551504208799
216163,143,-30,105,19.1637096539252
216163,144,-30,45,29.8337968598939
216163,145,-30,45,49.3653939373829
216163,146,-30,105,15.3820144298192
216163,147,-30,135,18.7284914594178
216163,148,-30,75,28.3873433392367
216163,149,-30,75,20.9420836162742
216163,150,-30,45,35.4602529198998
216163,151,-30,105,24.7171625159035
216163,152,-30,135,32.7846745181564
216163,153,-30,135,25.4239375929525
216163,154,-30,45,24.3711714705408
216163,155,-30,105,22.5005489912408
216163,156,-30,75,22.9809175870795
216163,157,-30,135,24.5675958202134
216163,158,-30,75,23.3503665408474
216163,159,-30,45,30.432965438307
216163,160,-30,105,35.9229273208397
216163,161,-30,135,25.3157635574757
216163,162,-30,105,33.0044894025435
216163,163,-30,45,26.2874587898063
216163,164,-30,75,22.8340984804666
216163,165,-30,75,24.4702685894504
216163,166,-30,45,53.8745668449901
216163,167,-30,135,10.6085844970877
216163,168,-30,105,33.9743724859029
216163,169,-30,75,21.8055689410393
216163,170,-30,45,31.160537606073
216163,171,-30,105,23.4405481592711
216163,172,-30,135,24.8531987848623
216163,173,-30,45,30.9417971651037
216163,174,-30,75,30.2216670186096
216163,175,-30,135,19.0497189029966
216163,176,-30,105,3.37255125290288
216163,177,-30,105,23.1110406298307
216163,178,-30,45,28.5678420559317
216163,179,-30,135,13.9209690133845
216163,180,-30,75,19.3746102132561
216163,181,-30,105,27.6603370006602
216163,182,-30,45,41.5842497422649
216163,183,-30,135,13.4853690720467
216163,184,-30,75,15.8148486996438
216163,185,-30,75,17.9728311157582
216163,186,-30,45,26.5242525034979
216163,187,-30,105,32.3397035307472
216163,188,-30,135,-8.79124616749586
216163,189,-30,45,36.9337925958565
216163,190,-30,75,29.6175291897014
216163,191,-30,105,43.5085433394427
216163,192,-30,135,30.0370852331155
216163,193,30,45,45.4342573518927
216163,194,30,135,34.6222466988119
216163,195,30,105,21.520235519984
216163,196,30,75,11.949474263705
216163,197,30,45,4.65823671493742
216163,198,30,105,12.3098992732065
216163,199,30,75,-8.75777505368557
216163,200,30,135,20.0087972100365
216163,201,NA,75,11.6589536603741
216163,202,NA,135,0.694560772306669
216163,203,NA,45,4.51091082673229
216163,204,NA,105,5.79694577089569
216163,205,NA,105,7.2804511975207
216163,206,NA,75,6.09774000711205
216163,207,NA,45,0.470850503802365
216163,208,NA,135,10.0850714918933
216163,209,NA,105,7.48210123025075
216163,210,NA,135,7.56603547771915
216163,211,NA,45,16.0320587389531
216163,212,NA,75,1.69489403123391
216163,213,NA,75,6.6182046284524
216163,214,NA,135,-20.7945860948128
216163,215,NA,45,10.513528331824
216163,216,NA,105,7.86841462622058
216163,217,NA,45,10.8873672442364
216163,218,NA,75,5.02483787561204
216163,219,NA,135,3.31209390749933
216163,220,NA,105,15.1040611704785
216163,221,NA,105,11.0527799989127
216163,222,NA,75,7.65717026774345
216163,223,NA,135,-8.50838464611563
216163,224,NA,45,5.79740373902208
216985,1,0,105,3.58692427526864
216985,2,0,45,1.26599492613081
216985,3,0,135,11.8886584885952
216985,4,0,75,-10.1218625635716
216985,5,0,75,-5.20187158671853
216985,6,0,45,-2.47611662488609
216985,7,0,105,14.1480701740506
216985,8,0,135,-0.153608079157258
216985,9,0,45,-3.75486156401089e-06
216985,10,0,105,10.7256107791395
216985,11,0,75,-1.56236384142634
216985,12,0,135,4.91506330294783
216985,13,0,135,-6.30709279274038
216985,14,0,105,-0.682071202543229
216985,15,0,45,-3.01279230371185
216985,16,0,75,14.0289752538707
216985,17,0,135,1.9033884925415
216985,18,0,75,-9.20928084851508
216985,19,0,45,7.82907192513414
216985,20,0,105,7.26825161506846
216985,21,0,75,1.0898153299808
216985,22,0,135,-0.532144201663532
216985,23,0,45,5.97001116617262
216985,24,0,105,2.15837132902688
216985,25,0,45,0.367270886447398
216985,26,0,75,1.15557435764278
216985,27,0,135,-2.60257323158558
216985,28,0,105,1.16449704470476
216985,29,0,105,4.14813500738815
216985,30,0,135,0.309703469205497
216985,31,0,45,-4.87386003729617e-06
216985,32,0,75,2.07705349673515
216985,33,-30,45,8.44441363855839
216985,34,-30,105,10.7771411758606
216985,35,-30,75,1.59651159348892
216985,36,-30,135,6.30051321954285
216985,37,-30,45,-5.25781359924765
216985,38,-30,75,0.411062080776607
216985,39,-30,105,-2.57813999870244
216985,40,-30,135,15.364933816093
216985,41,-30,45,11.8131399820009
216985,42,-30,75,7.98694047850648
216985,43,-30,135,10.9540629479709
216985,44,-30,105,6.75272761427367
216985,45,-30,45,18.8649235468947
216985,46,-30,75,8.57124811068838
216985,47,-30,135,20.3861492034995
216985,48,-30,105,11.3258196761801
216985,49,-30,75,0.963752403109298
216985,50,-30,105,8.61426981332716
216985,51,-30,135,19.8406923936408
216985,52,-30,45,4.36958674449869
216985,53,-30,135,19.6778725134555
216985,54,-30,45,24.3563869135055
216985,55,-30,75,20.1710490043642
216985,56,-30,105,21.8162355791801
216985,57,-30,105,29.2461510528683
216985,58,-30,75,17.901906853484
216985,59,-30,45,19.7624168698865
216985,60,-30,135,24.2938890363612
216985,61,-30,45,23.9432897466564
216985,62,-30,135,20.9593816374389
216985,63,-30,75,12.8983418079927
216985,64,-30,105,27.5432711673107
216985,65,-30,135,39.644177503707
216985,66,-30,75,19.8268554072216
216985,67,-30,45,25.0835894969049
216985,68,-30,105,20.4457089954183
216985,69,-30,105,34.1391784413058
216985,70,-30,75,28.4381853799492
216985,71,-30,45,25.502621940654
216985,72,-30,135,42.7195174127612
216985,73,-30,105,29.0122390467393
216985,74,-30,135,33.0514486512899
216985,75,-30,75,32.5133778947898
216985,76,-30,45,27.2637417834492
216985,77,-30,105,29.6279427111485
216985,78,-30,135,28.5494173014225
216985,79,-30,45,26.4804147654572
216985,80,-30,75,23.2324740517031
216985,81,-30,135,41.2394910171182
216985,82,-30,75,26.4464563637196
216985,83,-30,45,33.9297934554523
216985,84,-30,105,37.6668043587799
216985,85,-30,135,34.5175786304947
216985,86,-30,45,46.8401780222834
216985,87,-30,75,12.8389173305031
216985,88,-30,105,24.5816504327229
216985,89,-30,105,37.8355252121818
216985,90,-30,45,57.8263723338908
216985,91,-30,75,28.9763079151989
216985,92,-30,135,22.4569402555832
216985,93,-30,45,32.988517711937
216985,94,-30,105,45.8814200814329
216985,95,-30,75,20.0058297913343
216985,96,-30,135,19.253405024002
216985,97,-30,45,41.7789560891412
216985,98,-30,135,19.6040823927961
216985,99,-30,105,29.436452533121
216985,100,-30,75,21.9761934015427
216985,101,-30,75,28.6900469519783
216985,102,-30,45,25.441744368564
216985,103,-30,105,27.0420577331064
216985,104,-30,135,20.8759208443846
216985,105,-30,105,31.2590448365025
216985,106,-30,75,31.673844402824
216985,107,-30,135,37.3380491602373
216985,108,-30,45,32.5209244318002
216985,109,-30,45,33.4279617064831
216985,110,-30,135,25.4417450309321
216985,111,-30,105,37.9999835769684
216985,112,-30,75,34.4400322589741
216985,113,-30,75,32.9986926537071
216985,114,-30,45,37.1059552168435
216985,115,-30,105,35.7626328296897
216985,116,-30,135,31.309966316112
216985,117,-30,75,29.4475880466792
216985,118,-30,45,38.0686397278478
216985,119,-30,105,38.4269691746633
216985,120,-30,135,29.7629709774898
216985,121,-30,75,17.2604984346516
216985,122,-30,45,32.8893985183807
216985,123,-30,135,20.8759208443846
216985,124,-30,105,22.373281097417
216985,125,-30,135,32.6678326587244
216985,126,-30,75,35.0203457623837
216985,127,-30,45,29.1218879909538
216985,128,-30,105,23.0223804872123
216985,129,-30,45,45.267731523016
216985,130,-30,105,24.5596670619799
216985,131,-30,75,27.1126199592704
216985,132,-30,135,15.6681611156717
216985,133,-30,135,10.5502542463412
216985,134,-30,105,28.8891401746469
216985,135,-30,75,27.7619097363777
216985,136,-30,45,33.1322647827421
216985,137,-30,105,27.6074169623829
216985,138,-30,45,35.8821335379764
216985,139,-30,135,43.6677830897575
216985,140,-30,75,18.6677847451611
216985,141,-30,45,28.3930153366383
216985,142,-30,135,31.0852763465457
216985,143,-30,75,32.3381064044212
216985,144,-30,105,35.2934421549429
216985,145,-30,75,23.3374413836476
216985,146,-30,45,33.4350399532664
216985,147,-30,135,24.443956040415
216985,148,-30,105,24.6727105808625
216985,149,-30,105,29.5130782427371
216985,150,-30,135,27.661892619573
216985,151,-30,45,31.6074982522004
216985,152,-30,75,24.8555580116893
216985,153,-30,75,76.6450534043536
216985,154,-30,105,29.0669258537805
216985,155,-30,135,20.9098417241888
216985,156,-30,45,29.0546000728192
216985,157,-30,75,27.9553162957566
216985,158,-30,105,29.1345593678427
216985,159,-30,135,27.15723166228
216985,160,-30,45,32.9516437461635
216985,161,-30,75,26.1038303247064
216985,162,-30,105,27.0057181341664
216985,163,-30,45,31.5140684266554
216985,164,-30,135,33.9704707866084
216985,165,-30,135,34.5625388773042
216985,166,-30,105,36.8427633307371
216985,167,-30,45,29.412490728468
216985,168,-30,75,32.0652658777331
216985,169,-30,45,33.5866413622972
216985,170,-30,75,26.0701996801607
216985,171,-30,135,32.7459921348524
216985,172,-30,105,27.6952211614731
216985,173,-30,75,31.269630672751
216985,174,-30,105,35.7105930751573
216985,175,-30,45,25.1249534329388
216985,176,-30,135,35.3541554307516
216985,177,-30,75,14.744213297304
216985,178,-30,135,40.2570676654655
216985,179,-30,105,32.3047674297981
216985,180,-30,45,33.9895159662497
216985,181,-30,45,33.8869553902118
216985,182,-30,75,25.1407903771584
216985,183,-30,105,18.6900661165756
216985,184,-30,135,39.4155156370765
216985,185,-30,105,25.6807128370768
216985,186,-30,75,26.0035377612369
216985,187,-30,45,30.035716044214
216985,188,-30,135,29.2488280035375
216985,189,-30,135,31.3527601287248
216985,190,-30,45,29.7637435973365
216985,191,-30,105,38.9017162186948
216985,192,-30,75,32.7983532056163
216985,193,30,105,44.4938684378731
216985,194,30,45,19.0750942357887
216985,195,30,135,20.4575661685133
216985,196,30,75,11.0275000742073
216985,197,30,105,11.3399196159942
216985,198,30,75,11.1689448021199
216985,199,30,45,2.53675706593986
216985,200,30,135,19.8700346520629
216985,201,NA,45,14.076961105081
216985,202,NA,135,11.9761328643381
216985,203,NA,75,11.1709366153801
216985,204,NA,105,7.68055729014033
216985,205,NA,45,17.2310075617218
216985,206,NA,75,15.2501947535654
216985,207,NA,105,14.9104737792416
216985,208,NA,135,11.8614914848719
216985,209,NA,45,16.6634743317074
216985,210,NA,135,17.2310123555855
216985,211,NA,105,12.6237829549363
216985,212,NA,75,16.8561543546423
216985,213,NA,75,7.48521866778821
216985,214,NA,105,4.13840630251172
216985,215,NA,45,16.8374680375063
216985,216,NA,135,15.4103921482312
216985,217,NA,135,3.26558766688634
216985,218,NA,75,9.16520780199137
216985,219,NA,105,13.8937242171202
216985,220,NA,45,21.2826451189743
216985,221,NA,75,13.749195545639
216985,222,NA,135,7.00784727346187
216985,223,NA,45,20.9343639233264
216985,224,NA,105,16.0454893053939
217159,1,0,75,1.27727191113848
217159,2,0,135,6.21384843968968
217159,3,0,105,5.59333509533181
217159,4,0,45,48.3627898464846
217159,5,0,135,-9.29322374391454
217159,6,0,105,-1.69714114092347
217159,7,0,75,1.65834349666963
217159,8,0,45,0.42945379930696
217159,9,0,105,11.7561395410012
217159,10,0,135,-3.40319495716288
217159,11,0,75,21.1757661030953
217159,12,0,45,56.9739505790288
217159,13,0,45,13.4924935472265
217159,14,0,135,-19.2193135925586
217159,15,0,105,4.28595766914148
217159,16,0,75,0.458189700481237
217159,17,0,135,-5.10454964702729
217159,18,0,45,7.80693590996333
217159,19,0,75,5.48165973413096
